transaction_id,sender_id,receiver_id,amount,timestamp,sender_ip,receiver_ip,sender_city,receiver_city,channel,sender_phone,transfer_type,case_id
TXN001,ACC1001,ACC2001,150000,2026-01-05T09:12:00,103.21.44.10,103.21.44.98,Mumbai,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN002,ACC2001,ACC3001,148000,2026-01-05T09:45:00,103.21.44.98,45.112.88.4,Delhi,Kolkata,UPI,UNKNOWN,DIGITAL,DEFAULT
TXN003,ACC3001,ACC4001,145000,2026-01-05T10:30:00,45.112.88.4,45.112.88.4,Kolkata,Kolkata,NEFT,UNKNOWN,DIGITAL,DEFAULT
TXN004,ACC1002,ACC2001,90000,2026-01-05T11:00:00,182.76.10.5,103.21.44.98,Chennai,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN005,ACC2001,ACC5001,88000,2026-01-05T11:15:00,103.21.44.98,203.88.12.7,Delhi,Hyderabad,UPI,UNKNOWN,DIGITAL,DEFAULT
TXN006,ACC5001,ACC6001,85000,2026-01-05T13:20:00,203.88.12.7,203.88.12.7,Hyderabad,Hyderabad,Cash-Deposit,UNKNOWN,DIGITAL,DEFAULT
TXN007,ACC1003,ACC2002,220000,2026-01-06T08:05:00,117.55.6.9,110.44.9.2,Bangalore,Pune,RTGS,UNKNOWN,DIGITAL,DEFAULT
TXN008,ACC2002,ACC3002,215000,2026-01-06T08:40:00,110.44.9.2,45.112.88.4,Pune,Kolkata,NEFT,UNKNOWN,DIGITAL,DEFAULT
TXN009,ACC3002,ACC7001,210000,2026-01-06T09:10:00,45.112.88.4,88.99.5.3,Kolkata,Guwahati,UPI,UNKNOWN,DIGITAL,DEFAULT
TXN010,ACC1004,ACC2001,60000,2026-01-06T14:00:00,192.168.5.11,103.21.44.98,Ahmedabad,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN011,ACC2001,ACC8001,58000,2026-01-06T14:20:00,103.21.44.98,66.77.88.9,Delhi,Jaipur,UPI,UNKNOWN,DIGITAL,DEFAULT
TXN012,ACC1005,ACC2002,300000,2026-01-07T10:00:00,141.22.6.7,110.44.9.2,Lucknow,Pune,RTGS,UNKNOWN,DIGITAL,DEFAULT
TXN013,ACC2002,ACC9001,295000,2026-01-07T10:35:00,110.44.9.2,199.11.4.6,Pune,Bhopal,NEFT,UNKNOWN,DIGITAL,DEFAULT
TXN014,ACC9001,ACC10001,290000,2026-01-07T12:00:00,199.11.4.6,199.11.4.6,Bhopal,Bhopal,Cash-Deposit,UNKNOWN,DIGITAL,DEFAULT
TXN015,ACC1006,ACC2001,45000,2026-01-08T09:00:00,72.14.6.3,103.21.44.98,Nagpur,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN016,ACC1007,ACC2001,47000,2026-01-08T09:05:00,72.14.6.3,103.21.44.98,Nagpur,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN017,ACC1008,ACC2001,46000,2026-01-08T09:10:00,72.14.6.3,103.21.44.98,Nagpur,Delhi,IMPS,UNKNOWN,DIGITAL,DEFAULT
TXN018,ACC2001,ACC11001,130000,2026-01-08T15:00:00,103.21.44.98,55.66.7.8,Delhi,Surat,UPI,UNKNOWN,DIGITAL,DEFAULT
TXN019,ACC11001,ACC12001,128000,2026-01-08T15:30:00,55.66.7.8,55.66.7.8,Surat,Surat,Cash-Deposit,UNKNOWN,DIGITAL,DEFAULT
TXN020,ACC1009,ACC13001,500000,2026-01-09T11:00:00,88.44.2.1,203.88.12.7,Indore,Hyderabad,RTGS,UNKNOWN,DIGITAL,DEFAULT
TXN021,ACC13001,ACC5001,495000,2026-01-09T11:45:00,203.88.12.7,203.88.12.7,Hyderabad,Hyderabad,NEFT,UNKNOWN,DIGITAL,DEFAULT
